,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,Authentication & User Management,,,,,,,,,,,,,,,,Passed,,,,,,,,
Test requirement,"Verify user registration (email signup, duplicate check, role assignment), login / logout flows (valid credentials, wrong password, non-existent email), profile management (update name, avatar upload, soft delete), password reset lifecycle, JWT / refresh-token security, and admin user-suspension controls.",,,,,,,,,,,,,,,,Failed,,,,,,,,
Number of TCs,10,,,,,,,,,,,,,,,,Pending,,,,,,,,
Testing Round,Passed,Failed,Pending,N/A,,,,,,,,,,,,,N/A,,,,,,,,
Round 1,7,5,8,,,,,,,,,,,,,,,,,,,,,,
Round 2,9,3,8,,,,,,,,,,,,,,,,,,,,,,
Round 3,,,,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1,Test date,Tester,Round 2,Test date,Tester,Round 3,Test date,Tester,Note,,,,,,,,,,,
[Module Auth - 1],Verify valid Email Signup,"1. Open POST /api/auth/register endpoint.
2. Send JSON payload:
   - Email: ""newuser@elysstay.com""
   - Password: ""User@123""
   - FullName: ""Nguyen Van A""
   - Role: ""Tenant""
3. Wait for 201 Created response.","1. Response status is 201 Created.
2. Response body contains UserId, Email, FullName, Role = Tenant.
3. Database record has Status = Active and PasswordHash is not plaintext.","1. No account exists with email newuser@elysstay.com.
2. Database is accessible and auth service is running.",Passed,2026-03-08 00:00:00,Vo Trung Tin,Passed,2026-03-24 00:00:00,Phan Phu Tho,N/A,,,Selected for critical 80 execution subset,,,,,,,,,,,
[Module Auth - 2],Verify duplicate Email Signup,"1. Open POST /api/auth/register endpoint.
2. Send JSON with Email = ""newuser@elysstay.com"" (already registered).
3. Wait for error response.","1. Response status is 409 Conflict.
2. Error message contains ""Email already exists"" or unique constraint violation.
3. No duplicate record is created in the database.","1. Account with email newuser@elysstay.com already exists from Auth-1.
2. Database is accessible.",Passed,2026-03-08 00:00:00,Vo Trung Tin,Passed,2026-03-24 00:00:00,Phan Phu Tho,N/A,,,Selected for critical 80 execution subset,,,,,,,,,,,
[Module Auth - 3],Verify Role Assignment (Tenant),"1. Open POST /api/auth/register endpoint.
2. Send JSON with Role = ""Tenant"", Email = ""tenant01@elysstay.com"".
3. Check the created user record.","1. Response status is 201 Created.
2. User record Role field = Tenant.
3. User has Tenant-level permissions only (cannot manage properties).","1. No account with email tenant01@elysstay.com exists.
2. Auth service is running.",Passed,2026-03-08 00:00:00,Vo Trung Tin,Passed,2026-03-24 00:00:00,Phan Phu Tho,N/A,,,,,,,,,,,,,,
[Module Auth - 4],Verify Role Assignment (Owner),"1. Open POST /api/auth/register endpoint.
2. Send JSON with Role = ""Owner"", Email = ""owner01@elysstay.com"".
3. Check the created user record.","1. Response status is 201 Created.
2. User record Role field = Owner.
3. User has Owner-level permissions (property management access).","1. No account with email owner01@elysstay.com exists.
2. Auth service is running.",Passed,2026-03-08 00:00:00,Vo Trung Tin,Passed,2026-03-24 00:00:00,Phan Phu Tho,N/A,,,,,,,,,,,,,,
[Module Auth - 5],Verify Role Assignment (Staff),"1. Open POST /api/auth/register endpoint.
2. Send JSON with Role = ""Staff"", Email = ""staff01@elysstay.com"".
3. Check the created user record.","1. Response status is 201 Created.
2. User record Role field = Staff.
3. User has Staff-level permissions.","1. No account with email staff01@elysstay.com exists.
2. Auth service is running.",Passed,2026-03-08 00:00:00,Vo Trung Tin,Passed,2026-03-24 00:00:00,Phan Phu Tho,N/A,,,,,,,,,,,,,,
[Module Auth - 6],Login with correct credentials,"1. Open POST /api/auth/login endpoint.
2. Send JSON: Email = ""newuser@elysstay.com"", Password = ""User@123"".
3. Read the response body.","1. Response status is 200 OK.
2. Response body contains a valid JWT accessToken (non-empty string).
3. Response body contains refreshToken.
4. User profile (Id, Email, FullName, Role) is included.","1. User newuser@elysstay.com is registered and Status = Active.
2. Auth service is running.",Failed,2026-03-08 00:00:00,Vo Trung Tin,Passed,2026-03-24 00:00:00,Phan Phu Tho,N/A,,,Selected for critical 80 execution subset,,,,,,,,,,,
[Module Auth - 7],Login with invalid password,"1. Open POST /api/auth/login endpoint.
2. Send JSON: Email = ""newuser@elysstay.com"", Password = ""WrongPass"".
3. Read the error response.","1. Response status is 401 Unauthorized.
2. Error message is ""Invalid credentials"" or equivalent.
3. No JWT token is issued.","1. User newuser@elysstay.com is registered.
2. Auth service is running.",Failed,2026-03-08 00:00:00,Vo Trung Tin,Passed,2026-03-24 00:00:00,Phan Phu Tho,N/A,,,Selected for critical 80 execution subset,,,,,,,,,,,
[Module Auth - 8],Login with non-existent email,"1. Open POST /api/auth/login endpoint.
2. Send JSON: Email = ""nobody@elysstay.com"", Password = ""Any@123"".
3. Read the error response.","1. Response status is 404 Not Found.
2. Error message indicates ""User not found"" or equivalent.
3. No JWT token is issued.","1. No account exists with email nobody@elysstay.com.
2. Auth service is running.",Pending,2026-03-08 00:00:00,Vo Trung Tin,Pending,2026-03-24 00:00:00,Phan Phu Tho,N/A,,,,,,,,,,,,,,
[Module Auth - 9],Update user profile name,"1. Authenticate as newuser@elysstay.com and obtain JWT.
2. Open PUT /api/users/{userId} endpoint.
3. Send JSON: FullName = ""Nguyen Van B"".
4. Query the database for the updated record.","1. Response status is 200 OK.
2. Database FullName field = ""Nguyen Van B"".
3. UpdatedAt timestamp is refreshed to current time.","1. User newuser@elysstay.com is logged in with valid JWT.
2. Auth service is running.",Pending,2026-03-08 00:00:00,Vo Trung Tin,Pending,2026-03-24 00:00:00,Phan Phu Tho,N/A,,,,,,,,,,,,,,
[Module Auth - 10],Soft delete user,"1. Authenticate as admin.
2. Open DELETE /api/users/{userId} for target user.
3. Check the database record after deletion.","1. Response status is 200 OK.
2. Database DeletedAt field is populated with current timestamp.
3. User Status changes to Inactive.
4. User can no longer authenticate.","1. Target user exists and has no active contracts or leases.
2. Admin account is authenticated.",Pending,2026-03-08 00:00:00,Vo Trung Tin,Pending,2026-03-24 00:00:00,Phan Phu Tho,N/A,,,Selected for critical 80 execution subset,,,,,,,,,,,
