,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,Reservation Management,,,,,,,,,,,,,,,,Passed,,,,,,,,
Test requirement,"Verify the complete reservation lifecycle: creation for AVAILABLE rooms, rejection for OCCUPIED / BOOKED rooms, deposit confirmation → CONFIRMED, cancellation with full / partial / zero refund, 7-day auto-expiry of PENDING reservations, idempotent expiry runs, conversion to contract with deposit carry-over, and search / filter capabilities.",,,,,,,,,,,,,,,,Failed,,,,,,,,
Number of TCs,5,,,,,,,,,,,,,,,,Pending,,,,,,,,
Testing Round,Passed,Failed,Pending,N/A,,,,,,,,,,,,,N/A,,,,,,,,
Round 1,4,2,6,,,,,,,,,,,,,,,,,,,,,,
Round 2,7,2,3,,,,,,,,,,,,,,,,,,,,,,
Round 3,,,,12,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1,Test date,Tester,Round 2,Test date,Tester,Round 3,Test date,Tester,Note,,,,,,,,,,,
[Module Res - 1],Create reservation for AVAILABLE room,"1. Open the reservation form.
2. Select room A101 with Status = AVAILABLE.
3. Enter TenantId = T001, DepositAmount = 12,000,000 VND, and Note = 'Move in after Tet'.
4. Submit the request.
5. Write down the exact success toast or inline response that appears immediately after the submit / confirm action.
6. Refresh the page, reopen the affected record or records, and compare every saved ID, status, date, and amount against the values entered in this test case.","1. Reservation R001 is created with Status = PENDING.
2. Room A101 changes from AVAILABLE to BOOKED.
3. DepositAmount is stored exactly as 12,000,000 VND.
4. Audit fields record the creator and created time.
5. Visible feedback shows 'Đã tạo đặt cọc'.
6. After refresh, the saved state persists exactly once for the target ID or IDs in this test case.
7. No unrelated record is changed and no duplicate row is created while the intended mutation is applied.","1. Owner or staff account with reservation-management permission is already logged in.
2. Room A101 is AVAILABLE, tenant T001 is ACTIVE, and no active reservation exists for that room.
3. Use exactly the IDs, statuses, dates, and money amounts written in this row, and keep other testers off the same target records during execution.",Passed,2026-03-08 00:00:00,Vo Trung Tin,Passed,2026-03-24 00:00:00,Phan Phu Tho,N/A,,,Selected for critical 80 execution subset,,,,,,,,,,,
[Module Res - 2],Reject reservation for OCCUPIED room,"1. Open the reservation form.
2. Select room A102 with Status = OCCUPIED.
3. Enter otherwise valid tenant data for T001 and DepositAmount = 12,000,000 VND.
4. Submit the request.
5. Write down the exact blocking toast or inline validation that appears immediately after the submit / confirm action.
6. Refresh the page, search the same target IDs again, and verify that the rejected change did not persist anywhere in the grid or detail page.","1. The request is rejected with a room-unavailable error.
2. No reservation row is created.
3. Room A102 remains OCCUPIED.
4. Visible feedback explains that the room is not available: 'Phòng hiện đang ở trạng thái Occupied. Chỉ phòng Trống mới có thể đặt.'.
5. After refresh, the attempted change is still absent and every original room, reservation, contract, invoice, payment, or service state remains exactly as it was before submit.
6. No duplicate row, hidden side effect, or unintended ledger mutation is created by the rejected request.","1. Owner or staff account with reservation-management permission is already logged in.
2. Room A102 currently has Status = OCCUPIED.
3. Use exactly the IDs, statuses, dates, and money amounts written in this row, and keep other testers off the same target records during execution.",Passed,2026-03-08 00:00:00,Vo Trung Tin,Passed,2026-03-24 00:00:00,Phan Phu Tho,N/A,,,Selected for critical 80 execution subset,,,,,,,,,,,
[Module Res - 3],Expire PENDING reservation after 7 days,"1. Prepare reservation R001 with Status = PENDING and ExpiresAt older than 7 days.
2. Confirm no contract exists for R001.
3. Run the reservation expiry job once.
4. Write down the exact success toast or inline response that appears immediately after the submit / confirm action.
5. Refresh the page, reopen the affected record or records, and compare every saved ID, status, date, and amount against the values entered in this test case.","1. Reservation R001 changes to EXPIRED.
2. Room A101 returns from BOOKED to AVAILABLE.
3. Re-running the same job does not change R001 a second time.
4. The UI shows an immediate success response and refreshes or closes the dialog without a hidden error.
5. After refresh, the saved state persists exactly once for the target ID or IDs in this test case.
6. No unrelated record is changed and no duplicate row is created while the intended mutation is applied.","1. Owner or staff account with reservation-management permission is already logged in.
2. Reservation R001 is still PENDING and is already older than the 7-day expiry window.
3. Use exactly the IDs, statuses, dates, and money amounts written in this row, and keep other testers off the same target records during execution.",Failed,2026-03-08 00:00:00,Vo Trung Tin,Passed,2026-03-24 00:00:00,Phan Phu Tho,N/A,,,Selected for critical 80 execution subset,,,,,,,,,,,
[Module Res - 4],Owner cancels reservation with refund amount and reason,"1. Open reservation R002 from the owner portal.
2. Click Cancel Reservation.
3. Enter RefundAmount = 12,000,000 VND and Reason = 'Tenant changed plans'.
4. Submit the cancellation.
5. Write down the exact success toast or inline response that appears immediately after the submit / confirm action.
6. Refresh the page, reopen the affected record or records, and compare every saved ID, status, date, and amount against the values entered in this test case.","1. Reservation R002 changes to CANCELLED.
2. RefundAmount is stored as 12,000,000 VND.
3. RefundedAt is recorded because the refund amount is greater than 0.
4. The linked room returns to AVAILABLE.
5. The UI shows an immediate success response and refreshes or closes the dialog without a hidden error.
6. After refresh, the saved state persists exactly once for the target ID or IDs in this test case.
7. No unrelated record is changed and no duplicate row is created while the intended mutation is applied.","1. Owner or staff account with reservation-management permission is already logged in.
2. Reservation R002 exists, has a refundable deposit of 12,000,000 VND, and cancellation is allowed.
3. Use exactly the IDs, statuses, dates, and money amounts written in this row, and keep other testers off the same target records during execution.",Failed,2026-03-08 00:00:00,Vo Trung Tin,Passed,2026-03-24 00:00:00,Phan Phu Tho,N/A,,,Selected for critical 80 execution subset,,,,,,,,,,,
[Module Res - 5],Cancel reservation with partial or zero refund,"1. Open reservation R003 and cancel it with RefundAmount = 4,000,000 VND and Reason = 'Owner accepted service fee deduction'.
2. Open reservation R004 and cancel it with RefundAmount = 0 VND and Reason = 'Tenant forfeited deposit'.
3. Write down the exact success toast or inline response that appears immediately after the submit / confirm action.
4. Refresh the page, reopen the affected record or records, and compare every saved ID, status, date, and amount against the values entered in this test case.","1. R003 changes to CANCELLED with RefundAmount = 4,000,000 VND and RefundedAt recorded.
2. R004 changes to CANCELLED with RefundAmount = 0 VND and RefundedAt left blank.
3. Both linked rooms return to AVAILABLE.
4. Both cancellations persist the exact entered reason.
5. Visible feedback shows 'Đã hủy đặt cọc'.
6. After refresh, the saved state persists exactly once for the target ID or IDs in this test case.
7. No unrelated record is changed and no duplicate row is created while the intended mutation is applied.","1. Owner or staff account with reservation-management permission is already logged in.
2. Reservations R003 and R004 exist and both are eligible for cancellation.
3. Use exactly the IDs, statuses, dates, and money amounts written in this row, and keep other testers off the same target records during execution.",Passed,2026-03-08 00:00:00,Vo Trung Tin,Passed,2026-03-24 00:00:00,Phan Phu Tho,N/A,,,Selected for critical 80 execution subset,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
