Feature,<Financial Accounting>,,,,,,,,,,,,
Test requirement,<Testing accurate generation sending and tracking of invoices>,,,,,,,,,,,,
Number of TCs,14,,,,,,,,,,,,
Testing Round,Passed,Failed,Pending,N/A,,,,,,,,
Round 1,14,0,0,0,,,,,,,,
,,,,,,,,,,,,,
Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1 Status,Test date,Tester,Round 2 Status,Test date,Tester,Round 3 Status,Test date,Tester,Note
[Module Inv - 1],Generate Monthly Rent Invoice,System generates an invoice for an active lease,Invoice status Unpaid Rent cost is applied.,Lease is Active Rent defined,"Passed","28/03/2026","Vo Trung Tin","Passed","30/03/2026","Phan Phu Tho","Passed","02/04/2026","Tu Thi Hong Phuc",
[Module Inv - 2],Add Utilities to Invoice,System processes unbilled utilities and adds to invoice,Invoice total reflects Rent + Utilities.,Unbilled utilities exist,"Passed","28/03/2026","Vo Trung Tin","Passed","30/03/2026","Phan Phu Tho","Passed","02/04/2026","Tu Thi Hong Phuc",
[Module Inv - 3],Add Service Fees to Invoice,System applies fixed monthly service fees,Invoice total reflects required services.,Services assigned to tenant,"Passed","28/03/2026","Vo Trung Tin","Passed","30/03/2026","Phan Phu Tho","Passed","02/04/2026","Tu Thi Hong Phuc",
[Module Inv - 4],Calculate Late Fees,System checks unpaid invoices past DueDate,Late fee percentage is added status remains Unpaid.,Invoice past DueDate,"Passed","28/03/2026","Vo Trung Tin","Passed","30/03/2026","Phan Phu Tho","Passed","02/04/2026","Tu Thi Hong Phuc",
[Module Inv - 5],Send Invoice Notification,Tenant receives an email when invoice is generated,Email successfully queued with Invoice details.,Invoice generated Subscribed to emails,"Passed","28/03/2026","Vo Trung Tin","Passed","30/03/2026","Phan Phu Tho","Passed","02/04/2026","Tu Thi Hong Phuc",
[Module Inv - 6],View Invoices List,Tenant views their list of invoices,List returned includes Unpaid and Paid invoices.,Tenant is logged in,"Passed","28/03/2026","Vo Trung Tin","Passed","30/03/2026","Phan Phu Tho","Passed","02/04/2026","Tu Thi Hong Phuc",
[Module Inv - 7],Cancel Duplicate Invoice,Admin cancels an incorrectly generated duplicate invoice,Status changed to Cancelled removed from Tenant view.,Invoice exists Admin role,"Passed","28/03/2026","Vo Trung Tin","Passed","30/03/2026","Phan Phu Tho","Passed","02/04/2026","Tu Thi Hong Phuc",
[Module Inv - 8],Calculate Partial Payment Remainder,System checks balance after partial payment applied,RemainingBalance updated correctly.,Invoice Unpaid Payment received,"Passed","28/03/2026","Vo Trung Tin","Passed","30/03/2026","Phan Phu Tho","Passed","02/04/2026","Tu Thi Hong Phuc",
[Module Inv - 9],Download Invoice PDF,Tenant requests PDF download for specific invoice,PDF generated with correct itemized details.,Invoice exists,"Passed","28/03/2026","Vo Trung Tin","Passed","30/03/2026","Phan Phu Tho","Passed","02/04/2026","Tu Thi Hong Phuc",
[Module Inv - 10],Generate Invoice Statistics,Admin requests sum of unpaid invoices for building,Returns accurate sum across all active leases.,Invoices exist,"Passed","28/03/2026","Vo Trung Tin","Passed","30/03/2026","Phan Phu Tho","Passed","02/04/2026","Tu Thi Hong Phuc",
